Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
Ipo9,630.6106122,668.4771844,747.7920328,802.9651244,754.217506,1059.245234,927.8281183,823.5683396,877.0737493
Ipp,35.90337792,45.32048708,63.75683517,44.98135977,41.90097256,59.7373516,57.52534334,81.34008292,85.27105896
Ippk,522.9004784,455.2648929,508.974057,523.5064637,741.3906777,613.4006103,424.9452782,421.5606221,421.2796365
Ipw,107.7101338,97.85105164,122.1105487,56.46596227,135.9643803,81.59248023,108.5558898,103.239336,98.46777047
Iqca,0,5.15005535,6.483745949,0.957050208,0,5.828034302,5.56696871,6.256929455,15.22697481
Iqcb1,126.1221224,119.4812841,114.5461784,71.77876559,107.745358,163.1849605,149.3803271,149.3841907,137.0427733
Iqcc,141.7723128,108.1511623,113.4655541,131.1158785,127.4131614,118.0176946,103.9167493,100.8929875,92.37698054
Iqcd,0.920599434,9.270099629,4.322497299,7.656401663,4.275609444,1.457008575,2.783484355,3.91058091,12.18157985
Iqce,111.3925315,129.7813948,171.8192677,108.1466735,151.3565743,120.9317118,163.2977488,149.3841907,118.7704036
Iqcf1,0,0,0,0,0,0,0,0,0
Iqcf3,0,0,0,0,0,0,0,0,0
Iqcf4,0,0,0,0,0.855121889,0,0,0,0
Iqcf5,0,0,0,0,0,0,0,0,0
Iqcf6,0,0,0,0,0,0,0,0,0
Iqcg,12.88839207,24.72026568,11.88686757,6.699351455,8.551218889,10.19906003,12.06176554,25.809834,41.62039783
Iqch,0,1.03001107,3.241872975,0,2.565365667,8.742051453,0.927828118,1.564232364,3.045394963
Iqcj,4.602997169,6.18006642,2.16124865,0.957050208,3.420487556,7.285042877,7.422624947,11.73174273,5.075658272
Iqck,5.523596603,13.39014391,6.483745949,3.828200832,5.130731333,5.828034302,5.56696871,6.256929455,5.075658272
Iqgap1,127.0427219,154.5016605,121.0299244,139.7293304,187.2716937,148.6148747,175.3595144,254.1877591,233.4802805
Iqgap2,1502.418276,1743.808741,1861.915712,932.1669025,1622.166223,2288.960472,1817.615284,1601.773941,1354.185627
Iqgap3,1.841198868,1.03001107,5.403121624,0.957050208,5.985853222,4.371025726,5.56696871,3.91058091,4.060526617
Iqsec1,1304.489398,1711.878398,1714.950804,1958.124725,1744.448653,2230.680129,1537.411192,1580.656804,1506.455375
Iqsec2,494.361896,634.4868191,736.9857895,742.6709613,695.2140957,1065.073269,732.9842135,726.585933,589.7914912
Iqsec3,673.8787855,885.8095201,823.4357355,1130.276296,650.7477574,942.6845483,877.7253999,904.9084225,771.5000573
Iqub,32.22098018,30.9003321,30.2574811,34.45380748,33.34975367,14.57008575,24.12353108,47.7090871,62.93816257
Irak1,289.9888216,321.3634538,340.3966623,278.5016105,356.5858277,272.4606036,274.637123,357.4270951,271.0401517
Irak1bp1,164.7872987,155.5316716,193.4317541,159.8273847,176.1551091,106.361626,118.7619991,109.4962655,126.8914568
Irak2,37.74457679,64.89069741,63.75683517,76.56401663,72.68536056,94.70555741,59.38099957,52.40178419,57.8625043
Irak3,1.841198868,7.21007749,4.322497299,0.957050208,1.710243778,7.285042877,1.855656237,5.474813274,5.075658272
